imdb_ID,title,year,duration,total_votes,budget,USA_gross_income,worldwide_gross_income,tomatometer_status,audience_rating
tt0200550,Coyote Ugly,2000,100,105212,45000000.0,60786269.0,113916474.0,Rotten,71.0
tt0254199,CQ,2001,88,4544,7000000.0,414358.0,499891.0,Fresh,69.0
tt1183665,Cracks,2009,104,18920,17000000.0,29683.0,101860.0,Rotten,48.0
tt0306685,Cradle 2 the Grave,2003,101,40829,25000000.0,34712347.0,56489558.0,Rotten,52.0
tt0150216,Cradle Will Rock,1999,132,8711,36000000.0,2903404.0,2986932.0,Fresh,71.0
tt0115963,The Craft,1996,101,74264,15000000.0,24819936.0,24819936.0,Rotten,65.0
tt0479884,Crank,2006,88,231202,12000000.0,27838408.0,42931041.0,Fresh,71.0
tt1535432,Crave,2012,113,1079,17000000.0,9051951.0,10371451.0,Rotten,26.0
tt0455407,The Crazies,2010,101,110013,20000000.0,39123589.0,54806823.0,Fresh,43.0
tt0250224,Crazy/Beautiful,2001,99,23602,13000000.0,16937988.0,19937988.0,Fresh,69.0
tt0285487,Crazy as Hell,2002,113,981,1800000.0,21679.0,21679.0,Rotten,54.0
tt1663631,Crazy Eyes,2012,95,502,10000000.0,6141.0,6141.0,Rotten,21.0
tt1263670,Crazy Heart,2009,112,82908,7000000.0,39464306.0,47405566.0,Certified-Fresh,76.0
tt0142201,Crazy in Alabama,1999,111,6604,15000000.0,2005840.0,2005840.0,Rotten,64.0
tt1196134,Crazy on the Outside,2010,96,5443,17000000.0,88335.0,88335.0,Rotten,28.0
tt1570728,"Crazy, Stupid, Love.",2011,118,462833,50000000.0,84351197.0,145051197.0,Certified-Fresh,78.0
tt1686018,Creature,2011,93,2774,3000000.0,508714.0,533235.0,Rotten,17.0
tt0112735,Creep,1995,91,184,10000.0,9051951.0,10371451.0,Fresh,65.0
tt0310924,Crime Spree,2003,105,5228,10000000.0,9051951.0,2451607.0,Rotten,56.0
tt0112738,Criminal,1994,123,420,17000000.0,9051951.0,10371451.0,Rotten,47.0
tt0112740,Crimson Tide,1995,116,99265,53000000.0,91387195.0,157387195.0,Certified-Fresh,83.0
tt0281749,Criss Cross,2001,88,102,17000000.0,9051951.0,10371451.0,Fresh,80.0
tt0118901,Critical Care,1997,107,1779,12000000.0,221193.0,221193.0,Rotten,30.0
tt0231402,Crocodile Dundee in Los Angeles,2001,92,23190,21150000.0,25635682.0,39438674.0,Rotten,25.0
